Date,Address,lat,lon,Killed,Injured
1/1/14,"Rockingham Street and Berkley Avenue Extended, Norfolk, Virginia",36.8307885,-76.2789351,2,2
1/3/14,"Farmers Boulevard and 133rd Avenue, Queens, New York",40.6775003,-73.7628984,1,3
1/12/14,"3600 block of Highway 80 W, Tallulah, Louisiana",32.4085176,-91.1867517,0,6
1/12/14,"University Drive, Huntsville, Alabama",34.7365623,-86.6503899,0,5
1/12/14,"300 block of North Street, Elgin, Illinois",42.0401123,-88.2802179,0,5
1/13/14,"800 block of Calvert St, Detroit, Michigan",42.3871989,-83.0922139,0,4
1/14/14,"West 86th Street, Los Angeles, California",33.9592417,-118.3987642,0,4
1/16/14,"37 N. 630 West, Spanish Fork, Utah",40.1103569,-111.6654008,5,0
1/16/14,"N/A, Ardmore, Oklahoma",34.1742611,-97.1436254,2,4
1/20/14,"8509 Rixlew Ln, Manassas, Virginia",38.7724579,-77.501871,0,4
1/21/14,"Springfield Avenue , Newark, New Jersey",40.7340152,-74.1914125,2,3
1/25/14,"600 block of Covenant Drive, Belle Glade, Florida",26.6868481,-80.6739228,0,4
1/27/14,"821 Word Plaza, Rocky Mount, North Carolina",35.9689931,-77.8183546,0,4
1/27/14,"2nd Avenue South and South Main Street, Seattle, Washington",47.6000368,-122.331575,1,4
2/3/14,"2100 block of Bridlewood Dr, Franklin, Indiana",39.4997647,-86.0449971,3,2
2/5/14,"6740 N Clark St, Chicago, Illinois",42.0048715,-87.6731925,1,3
2/6/14,"4600 block of Downman Road, New Orleans, Louisiana",30.016365,-90.0218189,0,4
2/7/14,"Northwest 41st Street and 9th Avenue , Miami, Florida",25.7806007,-80.2629892,0,5
2/12/14,"2220 block of Broadway, Gary, Indiana",41.5780964,-87.3371429,0,5
2/12/14,"37th and International , Oakland, California",37.7752416,-122.2208449,1,3
2/12/14,"Constitution Park, Stockton, California",37.9595498,-121.2774788,1,3
2/15/14,"Sahara and Maryland , Las Vegas, Nevada",36.1441689,-115.1369439,0,5
2/16/14," 115 NW 25th St., Fort Worth, Texas",32.7897334,-97.3499333,1,4
2/16/14,"4500 block of Riviera Shores , Orange County, Florida",28.5981122,-81.2742782,1,6
2/16/14,"1187 S. Edgewood Ave., Jacksonville, Florida",30.308527,-81.713431,1,4
2/16/14,"Lafayette Street and East Tillman Road, Fort Wayne, Indiana",41.0172956,-85.1191388,0,5
2/20/14,"300 W 1st St, Alturas, California",41.4839306,-120.5452439,4,2
2/20/14,"3400 block of South Parker, Indianapolis, Indiana",39.7170243,-86.1139206,4,0
2/22/14,"1200 block of W Papeete St, Wilmington, California",33.7868812,-118.2778726,0,4
2/25/14,"Graceland Lane, Glade Spring, Virginia",36.7843339,-81.7848237,5,1
3/1/14,"7800 Gratiot Av., Detroit, Michigan",42.3779841,-83.0147897,0,4
3/5/14,"Law Street, Pelzer, South Carolina",34.6393756,-82.4528394,3,2
3/8/14,"4900 West Race Ave, Chicago, Illinois",41.890715,-87.748309,0,6
3/8/14,"1600 block of First Street, Richmond, California",37.956275,-122.368475,1,3
3/9/14,"531 W State St, Fremont, Ohio",41.348378,-83.116532,3,1
3/16/14,"S 4th St, Beaumont, Texas",30.0588443,-94.1155643,3,1
3/16/14,"4960 Highway 80 West , Waynesboro, Georgia",33.209855,-81.8474274,0,4
3/21/14,"7550 Dorchester Road, North Charleston, South Carolina",32.9035257,-80.0785451,0,4
3/23/14,"2700 Majesty Drive, Arlington, Texas",32.7546259,-97.0607784,1,3
3/23/14,"601 Long Beach Boulevard, Long Beach, California",33.7744168,-118.1897475,1,3
3/23/14,"Turk and Taylor, San Francisco, California",37.7832142,-122.4107842,0,7
3/30/14,"N/A, Starkville, Mississippi",33.4503998,-88.8183872,0,5
3/30/14,"4300 Sunset Road, Charlotte, North Carolina",35.305418,-80.8569134,0,5
4/2/14,"Motor Pool Road and Tank Destroyer Boulevard, Fort Hood, Texas",31.1329784,-97.7944469,4,16
4/5/14,"4300 W Wilcox Street, Chicago, Illinois",41.879032,-87.733109,1,5
4/5/14,"West Palm Lane near 54th Avenue, Phoenix, Arizona",33.7249979,-112.1770079,1,3
