"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 4, 2018",California,Fresno,"W Simpson Ave and N Delno Ave",0,2,N/A
"May 3, 2018",Tennessee,Memphis,"3274 Alta Rd",0,1,N/A
"May 3, 2018",Ohio,Cleveland,"1600 block of E 93rd St",0,1,N/A
"May 3, 2018","North Dakota","Grand Forks","1006 S 12th St",4,0,N/A
"May 2, 2018","North Carolina",Wilson,"1700 block of Stantonsburg Road",0,1,N/A
"May 1, 2018",Illinois,Chicago,"1000 block of W 88th St",0,1,N/A
"April 30, 2018",Florida,Jacksonville,"W 71st St and Vermillion St",0,1,N/A
"April 30, 2018","District of Columbia",Washington,"1800 block of M St NE",0,2,N/A
"April 29, 2018",Texas,Houston,"7930 Corporate Dr",2,1,N/A
"April 29, 2018",Pennsylvania,York,"142 S George St",0,1,N/A
"April 29, 2018",Illinois,Chicago,"4600 block of N Monticello Ave",0,1,N/A
"April 26, 2018","New Mexico",Carlsbad,"100 block of Third St",0,1,N/A
"April 25, 2018",Arizona,Glendale,"58th Avenue and Camelback Road",0,1,N/A
"April 24, 2018",California,"Mc Farland (Mcfarland)","200 block of Robertson Ave",0,2,N/A
"April 24, 2018",Louisiana,"Baton Rouge","North Marque Ann Drive",0,1,N/A
"April 24, 2018",Illinois,Joliet,"400 block of Landau St",0,1,N/A
"April 23, 2018",Ohio,Streetsboro,"900 block of Alden Dr",1,0,N/A
"April 22, 2018",Texas,"San Antonio","100 block of Balsa Di Prato",0,1,N/A
"April 22, 2018",California,Modesto,"1800 block of Rancho Encantado",3,0,N/A
"April 22, 2018",Georgia,Columbus,"1000 Wynnton Rd",0,1,N/A
"April 21, 2018",California,Compton,"12400 block of Grandee Ave",1,1,N/A
"April 20, 2018",Ohio,Wickliffe,"28611 Euclid Avenue",1,0,N/A
"April 18, 2018",Pennsylvania,Philadelphia,"67th St and Trinity St",0,2,N/A
"April 18, 2018","North Carolina",Asheville,"73 Hansel Ave",4,3,N/A
"April 17, 2018",Indiana,Gary,"1400 block of E 35th Pl",1,1,N/A
"April 15, 2018",Indiana,"Fort Wayne","2700 block of Chestnut St",1,1,N/A
"April 15, 2018",Louisiana,"New Orleans","3400 block of New Orleans Street",0,2,N/A
"April 13, 2018",Florida,"Hollywood (Miramar)","6100 Block of SW 40th Ct",1,1,N/A
"April 13, 2018",Illinois,Rockford,"2200 block of S 5th St",0,2,N/A
"April 12, 2018",Indiana,"South Bend","425 S 25th St",0,1,N/A
"April 11, 2018",Utah,"Salt Lake City (West Valley City)","4065 S Redwood Rd",0,4,N/A
"April 11, 2018","South Carolina",Summerville,"1225 Boonehill Rd",0,1,N/A
"April 10, 2018",Kansas,"Overland Park","Switzer St and W 85th St",1,1,N/A
"April 10, 2018","North Carolina","Snow Hill","1043 Davis Grove Church Rd",2,0,N/A
"April 10, 2018",Texas,"San Antonio","11300 block of Roszell St",0,1,N/A
"April 9, 2018",California,"San Diego","3200 block of Apache Ave",0,1,N/A
"April 7, 2018",Mississippi,Philadelphia,"Chestnut Street",0,1,N/A
"April 7, 2018","North Carolina",Raleigh,"4200 block of Brintons Cottage Rd",1,2,N/A
"April 7, 2018",Michigan,Detroit,"15911 Livernois Ave",0,1,N/A
"April 6, 2018",Georgia,Atlanta,"300 block of Fairburn Road",0,1,N/A
"April 5, 2018",Michigan,Detroit,"11000 block of Chelsea Ave",0,1,N/A
"April 5, 2018","South Carolina","Horry (county)",N/A,0,1,N/A
"April 4, 2018",Louisiana,"New Orleans","3300 Garden Oaks Drive",2,2,N/A
"April 2, 2018",Illinois,Lansing,"Rosewood Dr",0,1,N/A
"April 1, 2018",Pennsylvania,Philadelphia,"2100 block of S Alden St",0,1,N/A
"April 1, 2018",Georgia,Atlanta,"1200 block of Bouldercrest Rd SE",1,0,N/A
"April 1, 2018",Maryland,Randallstown,"50 block of Cinnamon Cir",0,3,N/A
"April 1, 2018",Alabama,Birmingham,N/A,0,1,N/A
"March 31, 2018",Missouri,"Saint Louis","3100 block of California Ave",1,0,N/A
"March 31, 2018",Florida,Miami,"NW 65th St and NW 13th Ct",1,0,N/A
"March 29, 2018",Missouri,Florissant,"1415 East Duchesne",3,0,N/A
"March 29, 2018",Indiana,Indianapolis,"3500 block of N Wittfield St",1,1,N/A
"March 25, 2018",Alaska,"Barrow (Utqiagvik)",N/A,1,0,N/A
"March 25, 2018",Texas,Houston,"Freeport St and Alderson St",0,2,N/A
"March 25, 2018",Ohio,Cleveland,"Mannering Rd",0,1,N/A
"March 24, 2018",Louisiana,Jennings,"2074 Jeff Davis Academy Rd",0,1,N/A
"March 23, 2018",Michigan,Detroit,"11511 Plymouth Rd",0,1,N/A
"March 22, 2018",Texas,Temple,"306 S 25th St",0,1,N/A
"March 21, 2018",Kentucky,Burlington,"5900 block of Peoples Ln",2,0,N/A
"March 21, 2018",Georgia,Hull,"Maplewood Ln",0,1,N/A
"March 21, 2018",Texas,Martinsville,N/A,1,0,N/A
"March 21, 2018",Michigan,Warren,"13303 Charlotte Ave",0,1,N/A
"March 18, 2018",Maryland,Bowie,"2100 block of Woodvale Ln",0,1,N/A
"March 18, 2018",Wisconsin,Sparta,"Williams Ln",0,1,N/A
"March 17, 2018","West Virginia",Martinsburg,"Albert St",0,1,N/A
"March 17, 2018",Georgia,Eatonton,"222 Milledgeville Rd",2,4,N/A
"March 17, 2018",California,Hercules,I-80,0,2,N/A
"March 17, 2018",Louisiana,Shreveport,"Linwood Avenue",0,1,N/A
"March 16, 2018",Texas,"Big Spring","1711 S Gregg St",0,2,N/A
"March 15, 2018",Texas,Houston,"6030 Dashwood Dr",0,3,N/A
"March 15, 2018",Georgia,Atlanta,"600 block of Charlotte Pl",0,2,N/A
"March 14, 2018","New York",Brooklyn,"345 Thatford Ave",4,0,N/A
"March 14, 2018","South Carolina",Charleston,"586 Rutledge Ave",0,1,N/A
"March 13, 2018",Washington,Spanaway,"5707 209th St E",4,0,N/A
"March 12, 2018",Louisiana,"Lake Providence",N/A,1,0,N/A
"March 12, 2018",Missouri,"Cape Girardeau",N/A,1,0,N/A
"March 12, 2018",Alabama,Mobile,"8070 Domain St",1,0,N/A
"March 12, 2018",Alabama,Huntsville,"2120 Sparkman Dr NW",1,1,N/A
"March 12, 2018",Ohio,Cleveland,"E 37th St and Capers Ave",0,2,N/A
"March 10, 2018",Texas,Amarillo,"2900 block of Wichita Ave",0,1,N/A
"March 10, 2018",California,Fresno,"McKinley and Marks",1,1,N/A
"March 10, 2018",Alabama,Ozark,"King Street",0,2,N/A
"March 10, 2018",Florida,Ocala,"FR 88",3,0,N/A
"March 10, 2018",Illinois,Chicago,"3200 block of W Fulton Blvd",0,1,N/A
"March 10, 2018",Wisconsin,Milwaukee,"4500 block of N 38th St",1,0,N/A
"March 9, 2018","North Carolina",Fayetteville,"848 Tamarack Dr",0,1,N/A
"March 8, 2018",Alabama,Selma,"Marie Foster Dr",0,1,N/A
"March 8, 2018",Missouri,Columbia,"N Gregory Dr and N Teresa Dr",0,1,N/A
"March 8, 2018",Kansas,Lawrence,"600 block of North St",0,1,N/A
"March 7, 2018",Tennessee,Memphis,"Bonita Dr",0,1,N/A
"March 7, 2018",Georgia,Lithonia,"6250 Hillandale Dr",0,1,N/A
"March 7, 2018",Georgia,Decatur,N/A,0,1,N/A
"March 7, 2018",Alabama,Huntsville,"Murray Road",1,0,N/A
"March 4, 2018",Georgia,Cartersville,"Herring St",0,1,N/A
"March 4, 2018",Louisiana,Shreveport,"3410 Jackson Street",0,1,N/A
"March 4, 2018",Louisiana,Rayne,"900 block of Reynolds Street",0,1,N/A
"March 3, 2018",Ohio,Hayesville,N/A,0,1,N/A
"March 3, 2018",Missouri,"Saint Louis","I-70 and Union Blvd",0,1,N/A
"March 2, 2018",Colorado,Arboles,N/A,1,0,N/A
"March 2, 2018","North Carolina",Greensboro,"1373 Lees Chapel Rd",0,2,N/A
"March 1, 2018","North Carolina",Laurinburg,"3rd St",1,0,N/A
"March 1, 2018",Texas,Houston,"3900 block of Scott St",1,1,N/A
"February 28, 2018",Tennessee,Memphis,"National St and Fairoaks Ave",0,2,N/A
"February 28, 2018",Louisiana,Winnsboro,"2100 block of Roland St",0,1,N/A
"February 27, 2018",Florida,Gainesville,"1100 block on NE 16th Ave",0,2,N/A
"February 26, 2018",Georgia,Lagrange,"1000 block of Whitesville Rd",0,1,N/A
"February 26, 2018","New York",Brooklyn,"8221 Flatlands Ave",0,1,N/A
