"Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","lon","lat"
"May 4, 2018","California","Fresno","W Simpson Ave and N Delno Ave",0,2,"N/A",-119.8197654,36.7784412
"May 3, 2018","Tennessee","Memphis","3274 Alta Rd",0,1,"N/A",-90.0764925,35.0593434
"May 3, 2018","Ohio","Cleveland","1600 block of E 93rd St",0,1,"N/A",-81.6220463,41.5130132
"May 3, 2018","North Dakota","Grand Forks","1006 S 12th St",4,0,"N/A",-85.7728754,38.240526
"May 2, 2018","North Carolina","Wilson","1700 block of Stantonsburg Road",0,1,"N/A",NA,NA
"May 1, 2018","Illinois","Chicago","1000 block of W 88th St",0,1,"N/A",-87.6484554,41.7341755
"April 30, 2018","Florida","Jacksonville","W 71st St and Vermillion St",0,1,"N/A",-81.6590303,30.3914644
"April 30, 2018","District of Columbia","Washington","1800 block of M St NE",0,2,"N/A",-71.0913737,42.3389991
"April 29, 2018","Texas","Houston","7930 Corporate Dr",2,1,"N/A",-95.5525814,29.6925929
"April 29, 2018","Pennsylvania","York","142 S George St",0,1,"N/A",-76.7268432,39.959883
"April 29, 2018","Illinois","Chicago","4600 block of N Monticello Ave",0,1,"N/A",-87.7196283,41.9648093
"April 26, 2018","New Mexico","Carlsbad","100 block of Third St",0,1,"N/A",-73.6906736,42.7285407
"April 25, 2018","Arizona","Glendale","58th Avenue and Camelback Road",0,1,"N/A",-112.1840137,33.5095627
"April 24, 2018","California","Mc Farland (Mcfarland)","200 block of Robertson Ave",0,2,"N/A",-78.5130656,38.0243276
"April 24, 2018","Louisiana","Baton Rouge","North Marque Ann Drive",0,1,"N/A",-91.0429206,30.4685097
"April 24, 2018","Illinois","Joliet","400 block of Landau St",0,1,"N/A",NA,NA
"April 23, 2018","Ohio","Streetsboro","900 block of Alden Dr",1,0,"N/A",NA,NA
"April 22, 2018","Texas","San Antonio","100 block of Balsa Di Prato",0,1,"N/A",NA,NA
"April 22, 2018","California","Modesto","1800 block of Rancho Encantado",3,0,"N/A",-121.0195559,37.603381
"April 22, 2018","Georgia","Columbus","1000 Wynnton Rd",0,1,"N/A",NA,NA
"April 21, 2018","California","Compton","12400 block of Grandee Ave",1,1,"N/A",-118.2429232,33.9198371
"April 20, 2018","Ohio","Wickliffe","28611 Euclid Avenue",1,0,"N/A",NA,NA
"April 18, 2018","Pennsylvania","Philadelphia","67th St and Trinity St",0,2,"N/A",-75.242021,39.9271868
"April 18, 2018","North Carolina","Asheville","73 Hansel Ave",4,3,"N/A",-82.583641,35.591598
"April 17, 2018","Indiana","Gary","1400 block of E 35th Pl",1,1,"N/A",NA,NA
"April 15, 2018","Indiana","Fort Wayne","2700 block of Chestnut St",1,1,"N/A",NA,NA
"April 15, 2018","Louisiana","New Orleans","3400 block of New Orleans Street",0,2,"N/A",NA,NA
"April 13, 2018","Florida","Hollywood (Miramar)","6100 Block of SW 40th Ct",1,1,"N/A",-80.2083184,25.9731587
"April 13, 2018","Illinois","Rockford","2200 block of S 5th St",0,2,"N/A",NA,NA
"April 12, 2018","Indiana","South Bend","425 S 25th St",0,1,"N/A",NA,NA
"April 11, 2018","Utah","Salt Lake City (West Valley City)","4065 S Redwood Rd",0,4,"N/A",-111.9376963,40.6833229
"April 11, 2018","South Carolina","Summerville","1225 Boonehill Rd",0,1,"N/A",-80.219146,32.991633
"April 10, 2018","Kansas","Overland Park","Switzer St and W 85th St",1,1,"N/A",NA,NA
"April 10, 2018","North Carolina","Snow Hill","1043 Davis Grove Church Rd",2,0,"N/A",NA,NA
"April 10, 2018","Texas","San Antonio","11300 block of Roszell St",0,1,"N/A",NA,NA
"April 9, 2018","California","San Diego","3200 block of Apache Ave",0,1,"N/A",NA,NA
"April 7, 2018","Mississippi","Philadelphia","Chestnut Street",0,1,"N/A",-122.4256201,37.802183
"April 7, 2018","North Carolina","Raleigh","4200 block of Brintons Cottage Rd",1,2,"N/A",-78.5533236,35.8344432
"April 7, 2018","Michigan","Detroit","15911 Livernois Ave",0,1,"N/A",NA,NA
"April 6, 2018","Georgia","Atlanta","300 block of Fairburn Road",0,1,"N/A",NA,NA
"April 5, 2018","Michigan","Detroit","11000 block of Chelsea Ave",0,1,"N/A",NA,NA
"April 5, 2018","South Carolina","Horry (county)","N/A",0,1,"N/A",NA,NA
"April 4, 2018","Louisiana","New Orleans","3300 Garden Oaks Drive",2,2,"N/A",NA,NA
"April 2, 2018","Illinois","Lansing","Rosewood Dr",0,1,"N/A",NA,NA
"April 1, 2018","Pennsylvania","Philadelphia","2100 block of S Alden St",0,1,"N/A",-75.2249909,39.9339016
"April 1, 2018","Georgia","Atlanta","1200 block of Bouldercrest Rd SE",1,0,"N/A",NA,NA
"April 1, 2018","Maryland","Randallstown","50 block of Cinnamon Cir",0,3,"N/A",-77.4370539,43.0775308
"April 1, 2018","Alabama","Birmingham","N/A",0,1,"N/A",NA,NA
"March 31, 2018","Missouri","Saint Louis","3100 block of California Ave",1,0,"N/A",NA,NA
"March 31, 2018","Florida","Miami","NW 65th St and NW 13th Ct",1,0,"N/A",-80.2195088,25.8342874
"March 29, 2018","Missouri","Florissant","1415 East Duchesne",3,0,"N/A",-90.3147983,38.7775988
"March 29, 2018","Indiana","Indianapolis","3500 block of N Wittfield St",1,1,"N/A",-86.0056357,39.8203985
"March 25, 2018","Alaska","Barrow (Utqiagvik)","N/A",1,0,"N/A",-75.1975343,40.9869366
"March 25, 2018","Texas","Houston","Freeport St and Alderson St",0,2,"N/A",NA,NA
"March 25, 2018","Ohio","Cleveland","Mannering Rd",0,1,"N/A",-81.5608864,41.5473073
"March 24, 2018","Louisiana","Jennings","2074 Jeff Davis Academy Rd",0,1,"N/A",-92.6493737,30.2522841
"March 23, 2018","Michigan","Detroit","11511 Plymouth Rd",0,1,"N/A",NA,NA
"March 22, 2018","Texas","Temple","306 S 25th St",0,1,"N/A",-95.9480322,41.2576593
"March 21, 2018","Kentucky","Burlington","5900 block of Peoples Ln",2,0,"N/A",NA,NA
"March 21, 2018","Georgia","Hull","Maplewood Ln",0,1,"N/A",NA,NA
"March 21, 2018","Texas","Martinsville","N/A",1,0,"N/A",-75.1975343,40.9869366
"March 21, 2018","Michigan","Warren","13303 Charlotte Ave",0,1,"N/A",NA,NA
"March 18, 2018","Maryland","Bowie","2100 block of Woodvale Ln",0,1,"N/A",-76.7936728,38.9167782
"March 18, 2018","Wisconsin","Sparta","Williams Ln",0,1,"N/A",NA,NA
"March 17, 2018","West Virginia","Martinsburg","Albert St",0,1,"N/A",NA,NA
"March 17, 2018","Georgia","Eatonton","222 Milledgeville Rd",2,4,"N/A",NA,NA
"March 17, 2018","California","Hercules","I-80",0,2,"N/A",-98.6695873,40.7269708
"March 17, 2018","Louisiana","Shreveport","Linwood Avenue",0,1,"N/A",-78.8677298,42.9125267
"March 16, 2018","Texas","Big Spring","1711 S Gregg St",0,2,"N/A",-101.4724491,32.2374912
"March 15, 2018","Texas","Houston","6030 Dashwood Dr",0,3,"N/A",-95.4886161,29.7076822
"March 15, 2018","Georgia","Atlanta","600 block of Charlotte Pl",0,2,"N/A",-73.9603598,40.8768299
"March 14, 2018","New York","Brooklyn","345 Thatford Ave",4,0,"N/A",-73.9077229,40.661828
"March 14, 2018","South Carolina","Charleston","586 Rutledge Ave",0,1,"N/A",NA,NA
"March 13, 2018","Washington","Spanaway","5707 209th St E",4,0,"N/A",-122.3538887,47.0664016
"March 12, 2018","Louisiana","Lake Providence","N/A",1,0,"N/A",-75.1975343,40.9869366
"March 12, 2018","Missouri","Cape Girardeau","N/A",1,0,"N/A",-75.1975343,40.9869366
"March 12, 2018","Alabama","Mobile","8070 Domain St",1,0,"N/A",-97.1741193,36.70948
"March 12, 2018","Alabama","Huntsville","2120 Sparkman Dr NW",1,1,"N/A",-86.5927637,34.7632774
"March 12, 2018","Ohio","Cleveland","E 37th St and Capers Ave",0,2,"N/A",-81.6618767,41.4926837
"March 10, 2018","Texas","Amarillo","2900 block of Wichita Ave",0,1,"N/A",-101.8039379,35.2172352
"March 10, 2018","California","Fresno","McKinley and Marks",1,1,"N/A",-119.8443631,36.7646887
"March 10, 2018","Alabama","Ozark","King Street",0,2,"N/A",NA,NA
"March 10, 2018","Florida","Ocala","FR 88",3,0,"N/A",NA,NA
"March 10, 2018","Illinois","Chicago","3200 block of W Fulton Blvd",0,1,"N/A",-87.70656,41.88675
"March 10, 2018","Wisconsin","Milwaukee","4500 block of N 38th St",1,0,"N/A",-87.9601091,43.0990664
"March 9, 2018","North Carolina","Fayetteville","848 Tamarack Dr",0,1,"N/A",-78.9107097,35.1130042
"March 8, 2018","Alabama","Selma","Marie Foster Dr",0,1,"N/A",-87.0143713,32.4293136
"March 8, 2018","Missouri","Columbia","N Gregory Dr and N Teresa Dr",0,1,"N/A",NA,NA
"March 8, 2018","Kansas","Lawrence","600 block of North St",0,1,"N/A",NA,NA
"March 7, 2018","Tennessee","Memphis","Bonita Dr",0,1,"N/A",NA,NA
"March 7, 2018","Georgia","Lithonia","6250 Hillandale Dr",0,1,"N/A",-84.136441,33.708613
"March 7, 2018","Georgia","Decatur","N/A",0,1,"N/A",-75.1975343,40.9869366
"March 7, 2018","Alabama","Huntsville","Murray Road",1,0,"N/A",-80.3069144,36.1851857
"March 4, 2018","Georgia","Cartersville","Herring St",0,1,"N/A",NA,NA
"March 4, 2018","Louisiana","Shreveport","3410 Jackson Street",0,1,"N/A",NA,NA
"March 4, 2018","Louisiana","Rayne","900 block of Reynolds Street",0,1,"N/A",NA,NA
"March 3, 2018","Ohio","Hayesville","N/A",0,1,"N/A",NA,NA
"March 3, 2018","Missouri","Saint Louis","I-70 and Union Blvd",0,1,"N/A",-105.1327701,39.7165353
"March 2, 2018","Colorado","Arboles","N/A",1,0,"N/A",NA,NA
"March 2, 2018","North Carolina","Greensboro","1373 Lees Chapel Rd",0,2,"N/A",NA,NA
"March 1, 2018","North Carolina","Laurinburg","3rd St",1,0,"N/A",-118.4776524,33.9985676
"March 1, 2018","Texas","Houston","3900 block of Scott St",1,1,"N/A",-95.3526316,29.7196648
"February 28, 2018","Tennessee","Memphis","National St and Fairoaks Ave",0,2,"N/A",NA,NA
"February 28, 2018","Louisiana","Winnsboro","2100 block of Roland St",0,1,"N/A",NA,NA
"February 27, 2018","Florida","Gainesville","1100 block on NE 16th Ave",0,2,"N/A",NA,NA
"February 26, 2018","Georgia","Lagrange","1000 block of Whitesville Rd",0,1,"N/A",NA,NA
"February 26, 2018","New York","Brooklyn","8221 Flatlands Ave",0,1,"N/A",NA,NA
"February 25, 2018","Illinois","Chicago","4700 W North Ave",0,2,"N/A",NA,NA
"February 25, 2018","California","Sylmar","I-210 and CA  118",0,1,"N/A",-118.8847294,34.2788836
"February 24, 2018","Ohio","Cincinnati","Hamilton Ave and Roosevelt Ave",0,3,"N/A",NA,NA
"February 24, 2018","West Virginia","Charleston","N/A",0,1,"N/A",NA,NA
"February 23, 2018","Ohio","Akron","Hamlin St and Wildwood Ave",0,3,"N/A",NA,NA
"February 22, 2018","Tennessee","Jackson","100 block of E Deaderick St",0,1,"N/A",NA,NA
"February 21, 2018","Kentucky","Hulen","68 Charles Collett Road",0,1,"N/A",-83.5236033,36.7847024
"February 21, 2018","New Jersey","Asbury Park","405 Ridge Ave",1,1,"N/A",NA,NA
"February 20, 2018","Michigan","Bay City","3700 block of Wheeler Rd",3,0,"N/A",-82.0968561,33.4820809
"February 20, 2018","Alabama","Moulton","Pinhook Rd",1,0,"N/A",NA,NA
"February 19, 2018","South Carolina","North Charleston","Hillandale Rd",0,1,"N/A",-78.9357169,36.0362042
"February 19, 2018","Tennessee","Brownsville","Highland St",0,1,"N/A",-71.0746361,42.2466073
"February 18, 2018","Missouri","Saint Louis","Montgomery St and N Grand Blvd",0,1,"N/A",-90.2226776,38.6528851
"February 18, 2018","Florida","Jacksonville","1300 block of Mount Herman St",1,1,"N/A",-86.797882,36.166844
"February 18, 2018","California","Madera","Tozer St and Olive Ave",1,1,"N/A",-120.0376756,36.9526617
"February 18, 2018","Texas","San Antonio","2893 Cinema Ridge",0,5,"N/A",-98.6204053,29.4632441
