"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 4, 2018",Illinois,Danville,"900-block of Cleveland",0,1,N/A
"May 4, 2018",Texas,Dallas,"Marsh Ln",0,1,N/A
"May 4, 2018",Georgia,Atlanta,"532 Cleveland Ave SW",0,1,N/A
"May 4, 2018",Wisconsin,Kenosha,"61st St and 24th Ave",0,2,N/A
"May 4, 2018",Wisconsin,Milwaukee,"1100 block of Marquette St",0,1,N/A
"May 4, 2018",Illinois,Chicago,"800 block of N Keeler Ave",0,2,N/A
"May 3, 2018","North Dakota","Grand Forks","1006 S 12th St",4,0,N/A
"May 3, 2018",Texas,Baytown,"Wisconsin St and Market St",0,2,N/A
"May 2, 2018",Missouri,"Saint Louis","Bowers Ave and Rhea Ave",0,1,N/A
"May 2, 2018",Virginia,Hampton,"First block of Fulton St",1,0,N/A
"May 2, 2018",Illinois,Chicago,"5000 block of W Washington Blvd",0,1,N/A
"May 2, 2018",Illinois,Chicago,"1700 block of E 71st St",0,1,N/A
"May 2, 2018",Colorado,"Colorado Springs","3650 Maizeland Rd",0,1,N/A
"May 2, 2018",Illinois,Chicago,"6200 block of S California Ave",0,1,N/A
"May 2, 2018","South Dakota",Yankton,N/A,1,0,N/A
"May 2, 2018",Virginia,Toano,"2600 block of Little Creek Dam Rd",2,0,N/A
"May 2, 2018",Illinois,Chicago,"3500 block of W Grenshaw St",1,4,N/A
"May 2, 2018",Missouri,"Saint Louis","Page Ave and Euclid Ave",1,0,N/A
"May 2, 2018",Illinois,Chicago,"3400 block of W Flournoy St",0,1,N/A
"May 2, 2018",Minnesota,Minneapolis,"2400 block of Ogema Place",0,6,N/A
"May 2, 2018",Ohio,Cleveland,"9300 Wade Park Ave",0,1,N/A
"May 2, 2018",Illinois,Chicago,"4100 block of W Madison St",0,1,N/A
"May 1, 2018","New York",Bronx,"Prospect Ave and E 164th Ave",1,2,N/A
"May 1, 2018",Indiana,Gary,"2300 block of Whitcomb St",0,2,N/A
"May 1, 2018",Illinois,Chicago,"1200 block of S Avers Ave",0,1,N/A
"May 1, 2018",Ohio,Cleveland,"7000 block of Garden Valley Ave",0,1,N/A
"May 1, 2018",California,Azusa,"300 block of South Enid Avenue",1,0,N/A
"April 30, 2018",Tennessee,"La Vergne","2017 George Buchanan Drive",1,0,N/A
"April 30, 2018",Alabama,Birmingham,"300 block of 14th St S",0,1,N/A
"April 30, 2018",Texas,Christine,N/A,1,1,N/A
"April 30, 2018",Pennsylvania,Bristol,"300 block of Penn St",0,1,N/A
"April 30, 2018","North Carolina",Wilson,"1600 block of Snowden Dr",0,1,N/A
"April 30, 2018",Oklahoma,Tulsa,"2000 block of N Columbia Pl",0,1,N/A
"April 29, 2018",Texas,Dallas,"E Kiest Blvd and Cedar Crest Blvd",0,1,N/A
"April 29, 2018",Pennsylvania,Philadelphia,"5100 block of Knox St",0,1,N/A
"April 29, 2018",California,"Morgan Hill","100 Cochrane Rd",0,1,N/A
"April 29, 2018",Illinois,Chicago,"7100 block of S State St",0,1,N/A
"April 29, 2018","New Jersey","Jersey City","Wegman Pkwy",0,1,N/A
"April 29, 2018",Wisconsin,Milwaukee,"3000 block on N 37th St",0,1,N/A
"April 29, 2018",Florida,Jacksonville,"Playschool Ln",0,1,N/A
"April 29, 2018",Maryland,Baltimore,"700 block of N Patterson Park Ave",0,1,N/A
"April 28, 2018",Florida,Pensacola,"6405 Wagner Rd",0,2,N/A
"April 28, 2018",Illinois,Chicago,"1800 block of N Monitor Ave",0,1,N/A
"April 27, 2018",Nevada,"Las Vegas","Dramatic Way",1,1,N/A
"April 27, 2018",California,"Los Angeles","7730 S Western Ave",1,0,N/A
"April 27, 2018",Maryland,Baltimore,"1400 block of Ashland Ave",0,1,N/A
"April 27, 2018","North Carolina",Lumberton,N/A,0,1,N/A
"April 27, 2018",Louisiana,"New Orleans","2400 block of Touro Street",0,1,N/A
"April 27, 2018",Virginia,Richmond,"2200 block of Accommodation St",0,1,N/A
"April 27, 2018","South Carolina",Lumberton,"Martin Luther King Jr Drive",0,1,N/A
"April 27, 2018",Louisiana,"New Orleans","8800 block of Gervais",0,2,N/A
"April 27, 2018","South Carolina",Hanahan,"Belvedere Dr",1,0,N/A
"April 26, 2018",Arizona,"El Mirage","Dysart Rd and Cactus Rd",1,1,N/A
"April 26, 2018",Illinois,Galesburg,"S Pearl St and E 3rd St",0,1,N/A
"April 26, 2018","Rhode Island",Providence,"Hamilton St and Congress Ave",0,1,N/A
"April 26, 2018",Connecticut,Bridgeport,"Norman St",0,2,N/A
"April 25, 2018",Louisiana,Shreveport,"3000 block of Lindholm Street",0,1,N/A
"April 25, 2018",Illinois,Chicago,"4800 block of W Monroe St",1,0,N/A
"April 24, 2018",Alabama,Birmingham,"2501 31st Ave N",0,1,N/A
"April 24, 2018",California,"San Diego","Olivewood Ter",1,0,N/A
"April 24, 2018",Ohio,Lima,"W North St and N Charles St",0,1,N/A
"April 24, 2018",Alabama,Birmingham,"4016 37th Ave N",1,0,N/A
"April 24, 2018",Alabama,Mobile,"1400 block of Ann St",0,1,N/A
"April 24, 2018",Alaska,"Mountain Village",N/A,1,0,N/A
"April 24, 2018",Illinois,Chicago,"1900 block of S Saint Louis Ave",0,3,N/A
"April 24, 2018","New York","New York (Manhattan)","60 E 104th St",1,0,N/A
"April 23, 2018",Texas,Abilene,"US 84",0,1,N/A
"April 23, 2018",Alabama,Birmingham,"2501 31st Ave N",0,1,N/A
"April 23, 2018",California,Bakersfield,"Pioneer Dr",1,0,N/A
"April 23, 2018","North Carolina",Greensboro,"Hickory Tree Ln and Perth Pl",0,1,N/A
"April 23, 2018","New Mexico","Las Cruces","Athenian Way",1,0,N/A
"April 23, 2018","North Carolina",Kinston,"2100 block of Old Snow Hill Rd",0,1,N/A
"April 23, 2018",Louisiana,Thibodaux,"Carol St",0,1,N/A
"April 23, 2018",Michigan,Detroit,"12100 block of Wayburn St",0,1,N/A
"April 23, 2018",Connecticut,Hartford,"219 Clark St",0,1,N/A
"April 22, 2018","South Carolina",Orangeburg,"1000 Presidential Dr",0,1,N/A
"April 22, 2018",Michigan,"Sterling Heights","1200 block of Corvair Dr",0,1,N/A
"April 22, 2018",Louisiana,Paradis,"100 block of Lynn Dr",1,1,N/A
"April 22, 2018",Arkansas,"Pine Bluff","E 26th Ave and S Indiana St",0,1,N/A
"April 22, 2018",Alaska,Anchorage,"8800 block of McClellan Cir",0,1,N/A
"April 22, 2018",California,Bakersfield,"1300 block of Santiago Ct",1,1,N/A
"April 22, 2018",Illinois,Chicago,"5400 block of W Gladys Ave",0,2,N/A
"April 21, 2018",Oklahoma,Lawton,"500 block of NW 3rd St",1,1,N/A
"April 21, 2018",Pennsylvania,Pittsburgh,"200 block of Rochelle St",0,1,N/A
"April 21, 2018",Illinois,Chicago,"2300 block of E 70th Pl",0,1,N/A
"April 21, 2018",Illinois,Chicago,"9400 block of S Wabash Ave",1,1,N/A
"April 20, 2018",Oklahoma,Bethany,"6940 NW 19th St",0,1,N/A
"April 20, 2018",Louisiana,"Baton Rouge","Avenue J",0,1,N/A
"April 20, 2018",Florida,Ocala,"400 block of Water Ct",0,2,N/A
"April 20, 2018",Indiana,Indianapolis,"3800 block of Mill Crossing Dr",0,1,N/A
"April 20, 2018",Florida,Ocala,"5000 SE Maricamp Rd",0,1,N/A
"April 20, 2018",Illinois,Chicago,"5200 block of S Winchester Ave",0,1,N/A
"April 20, 2018",Louisiana,"Baton Rouge",N/A,0,1,N/A
"April 20, 2018",Arizona,Phoenix,"W Osborn Rd and N 71st Ave",0,1,N/A
"April 19, 2018",Tennessee,Memphis,"3347 Dawn Dr",0,1,N/A
"April 19, 2018",Michigan,Detroit,"8400 block of Plainview Ave",0,1,N/A
"April 19, 2018","North Carolina",Greensboro,"1515 Randolph Ave",0,1,N/A
"April 19, 2018",Illinois,Chicago,"6800 block of S Wood St",0,1,N/A
"April 19, 2018",Illinois,Chicago,"10600 block of S Bensley Ave",0,1,N/A
"April 18, 2018",Alabama,Mobile,"550 Rickarby Street",0,1,N/A
